datetime,machineID,errorID
2015-01-01 18:25:52,7,error3
2015-01-02 22:29:19,72,error5
2015-01-02 23:36:57,51,error2
2015-01-04 13:25:00,30,error1
2015-01-04 19:41:41,7,error2
2015-01-04 22:05:14,24,error1
2015-01-05 03:38:09,51,error3
2015-01-05 05:48:23,88,error2
2015-01-05 14:00:49,26,error4
2015-01-05 20:58:29,69,error1
2015-01-06 04:21:13,53,error2
2015-01-06 05:53:01,81,error4
2015-01-06 14:50:36,26,error1
2015-01-06 15:38:08,91,error4
2015-01-07 02:51:35,2,error3
2015-01-07 06:52:54,81,error5
2015-01-07 17:34:11,77,error3
2015-01-08 03:16:05,13,error4
2015-01-08 13:06:07,81,error2
2015-01-08 14:42:42,11,error2
2015-01-08 16:32:40,22,error2
2015-01-09 04:05:05,5,error3
2015-01-09 08:39:30,56,error2
2015-01-09 15:17:11,3,error2
2015-01-10 06:41:21,53,error2
2015-01-10 10:22:52,99,error5
2015-01-11 02:26:52,89,error5
2015-01-11 05:17:30,77,error3
2015-01-11 06:56:35,72,error5
2015-01-11 08:32:28,25,error3
2015-01-11 13:18:56,77,error1
2015-01-12 11:46:18,9,error4
2015-01-13 11:45:18,86,error4
2015-01-13 14:26:03,26,error5
2015-01-14 03:58:50,20,error5
2015-01-14 11:10:24,83,error2
2015-01-15 21:32:17,52,error4
2015-01-16 00:06:41,25,error4
2015-01-16 10:20:06,20,error3
2015-01-16 22:34:19,9,error3
2015-01-16 23:52:43,64,error1
2015-01-17 07:58:27,64,error4
2015-01-17 13:47:39,84,error2
2015-01-17 18:29:08,90,error5
2015-01-18 03:54:13,68,error1
2015-01-19 17:14:49,27,error1
2015-01-21 06:50:27,52,error2
2015-01-21 15:42:51,58,error1
2015-01-23 14:22:11,94,error3
2015-01-24 00:29:01,32,error5
2015-01-25 03:04:09,86,error5
2015-01-25 03:11:45,23,error3
2015-01-25 07:44:01,18,error1
2015-01-25 11:34:13,24,error5
2015-01-25 22:05:06,39,error1
2015-01-26 19:09:31,4,error1
2015-01-27 03:09:26,72,error5
2015-01-27 19:39:42,46,error3
2015-01-28 04:56:35,77,error2
2015-01-28 17:01:18,40,error3
2015-01-28 19:30:24,33,error1
2015-01-29 04:13:15,36,error4
2015-01-29 11:59:55,71,error3
2015-01-29 15:37:10,23,error4
2015-01-29 16:22:41,32,error1
2015-01-29 21:08:00,86,error1
2015-01-30 13:24:31,96,error1
2015-01-31 00:52:23,79,error3
2015-01-31 02:58:01,59,error4
2015-01-31 09:08:40,53,error4
2015-01-31 10:41:40,54,error2
2015-01-31 14:31:22,5,error5
2015-01-31 19:28:26,22,error5
2015-02-03 17:51:14,100,error4
2015-02-04 14:39:05,25,error5
2015-02-04 21:28:21,75,error3
2015-02-05 04:00:28,68,error4
2015-02-05 08:49:28,46,error3
2015-02-05 12:04:45,33,error2
2015-02-06 05:58:31,3,error2
2015-02-06 13:40:38,34,error1
2015-02-07 02:59:32,49,error3
2015-02-07 05:58:22,58,error5
2015-02-07 13:59:02,30,error5
2015-02-07 22:08:53,23,error3
2015-02-08 03:01:01,67,error3
2015-02-08 06:58:44,88,error2
2015-02-08 07:47:37,28,error1
2015-02-08 12:12:43,55,error2
2015-02-08 18:36:55,86,error4
2015-02-08 21:50:36,67,error2
2015-02-10 13:50:14,12,error3
2015-02-10 17:20:06,40,error1
2015-02-10 19:08:44,96,error2
2015-02-10 21:27:33,70,error3
2015-02-11 00:39:11,75,error5
2015-02-11 02:31:25,15,error2
2015-02-11 15:47:59,5,error1
2015-02-12 20:51:16,60,error3
2015-02-13 02:48:20,14,error3
2015-02-13 06:18:35,59,error1
2015-02-14 21:27:12,10,error3
2015-02-14 21:36:46,40,error5
2015-02-15 09:52:32,20,error5
2015-02-16 02:48:13,26,error1
2015-02-16 05:04:08,45,error5
2015-02-16 16:05:31,61,error1
2015-02-17 17:01:22,86,error2
2015-02-17 19:14:50,59,error4
2015-02-18 17:18:49,49,error3
2015-02-18 20:13:32,59,error1
2015-02-18 23:06:23,22,error4
2015-02-19 03:21:04,57,error1
2015-02-19 07:57:18,22,error4
2015-02-19 22:30:08,24,error4
2015-02-19 23:06:26,19,error3
2015-02-21 00:37:33,22,error2
2015-02-21 14:48:16,72,error1
2015-02-21 19:37:40,60,error2
2015-02-22 00:13:04,60,error2
2015-02-22 09:23:37,20,error2
2015-02-23 08:33:59,22,error4
2015-02-23 09:57:32,51,error2
2015-02-23 17:02:39,9,error2
2015-02-23 22:39:16,58,error5
2015-02-24 01:23:25,2,error5
2015-02-24 04:06:57,22,error3
2015-02-24 13:41:51,99,error2
2015-02-25 07:19:04,67,error1
2015-02-25 16:58:35,72,error4
2015-02-25 19:52:41,22,error1
2015-02-25 21:48:24,99,error1
2015-02-26 12:11:06,58,error3
2015-02-26 13:27:51,5,error3
2015-02-26 20:28:52,88,error4
2015-02-27 02:47:04,86,error1
2015-02-27 13:41:05,72,error1
2015-02-28 17:34:34,64,error5
2015-03-01 01:27:59,5,error3
2015-03-01 03:59:28,99,error4
2015-03-02 05:10:48,38,error3
2015-03-02 22:27:57,4,error1
2015-03-03 17:30:50,26,error3
2015-03-03 19:39:11,20,error5
2015-03-04 05:27:36,49,error5
2015-03-04 18:29:16,60,error2
2015-03-05 09:38:44,61,error5
2015-03-05 13:43:59,96,error2
2015-03-05 16:45:17,31,error3
2015-03-06 03:05:58,19,error1
2015-03-06 04:01:27,68,error4
2015-03-06 12:53:18,69,error3
2015-03-07 16:28:33,22,error3
2015-03-09 16:05:37,26,error2
2015-03-09 16:33:59,5,error4
2015-03-09 16:42:08,32,error5
2015-03-10 08:08:06,5,error4
2015-03-11 03:54:56,42,error2
2015-03-11 04:31:17,25,error4
2015-03-11 07:13:18,49,error4
2015-03-11 09:01:33,9,error2
2015-03-11 11:44:21,60,error3
2015-03-11 13:23:44,14,error3
2015-03-11 21:47:47,84,error4
2015-03-11 23:57:39,15,error4
2015-03-12 09:49:44,25,error5
2015-03-12 19:19:58,48,error5
2015-03-13 00:11:02,64,error5
2015-03-13 09:07:07,97,error4
2015-03-14 03:35:04,99,error5
2015-03-14 19:40:02,85,error1
2015-03-15 03:51:25,72,error5
2015-03-17 12:25:35,42,error2
2015-03-17 20:17:08,5,error2
2015-03-17 23:58:21,33,error2
2015-03-18 09:16:10,95,error2
2015-03-18 14:42:50,76,error4
2015-03-18 20:38:07,52,error4
2015-03-18 20:39:31,18,error1
2015-03-18 21:58:51,75,error2
2015-03-18 23:31:26,96,error2
2015-03-19 04:01:44,70,error4
2015-03-19 04:08:55,95,error2
2015-03-19 18:49:54,46,error3
2015-03-20 10:31:11,36,error1
2015-03-20 11:39:36,75,error4
2015-03-21 08:09:20,57,error4
2015-03-21 12:47:42,57,error4
2015-03-22 10:38:54,49,error1
2015-03-22 17:32:52,5,error4
2015-03-23 09:02:39,18,error5
2015-03-23 17:52:03,18,error3
2015-03-24 12:41:49,6,error5
2015-03-25 02:40:46,85,error4
2015-03-25 10:42:23,60,error5
2015-03-25 20:37:45,5,error4
2015-03-26 05:18:25,36,error1
2015-03-26 13:03:09,95,error5
2015-03-26 14:33:59,49,error3
2015-03-28 01:37:29,59,error3
2015-03-28 07:57:32,80,error3
2015-03-28 09:01:37,95,error3
2015-03-28 16:27:07,28,error5
2015-03-29 09:52:02,51,error2
2015-03-29 11:50:13,25,error5
2015-03-31 04:38:33,88,error2
2015-03-31 09:24:42,51,error4
2015-04-01 09:23:42,59,error2
2015-04-01 22:29:34,12,error4
2015-04-02 00:09:04,49,error4
2015-04-02 10:15:05,9,error5
2015-04-03 18:11:49,22,error3
2015-04-04 15:22:41,10,error4
2015-04-04 19:43:28,72,error5
2015-04-04 21:40:41,14,error5
2015-04-04 23:30:59,42,error4
2015-04-05 03:44:59,2,error4
2015-04-06 12:33:13,61,error4
2015-04-06 22:26:06,23,error4
2015-04-07 10:34:17,30,error5
2015-04-07 10:41:34,8,error3
2015-04-07 15:09:44,10,error4
2015-04-07 20:16:35,51,error3
2015-04-09 02:12:11,62,error5
2015-04-10 13:14:14,65,error5
2015-04-10 16:07:48,20,error2
2015-04-10 22:38:11,36,error1
2015-04-10 23:01:49,96,error4
2015-04-11 01:56:22,25,error1
2015-04-11 05:50:57,40,error1
2015-04-11 06:53:51,29,error2
2015-04-11 10:34:34,86,error5
2015-04-11 13:43:41,52,error3
2015-04-12 06:19:53,50,error1
2015-04-12 07:28:02,33,error3
2015-04-12 08:55:29,10,error2
2015-04-13 13:00:58,75,error4
2015-04-13 22:33:40,71,error1
2015-04-14 03:57:06,66,error1
2015-04-14 07:13:13,20,error5
2015-04-14 07:35:14,61,error2
2015-04-14 11:34:35,36,error5
2015-04-14 12:00:29,5,error4
2015-04-14 14:11:39,72,error5
2015-04-14 23:39:52,90,error3
2015-04-15 02:49:58,67,error1
2015-04-15 06:20:19,10,error4
2015-04-15 07:47:33,61,error3
2015-04-15 10:12:51,45,error2
2015-04-16 08:06:31,24,error3
2015-04-16 16:59:29,24,error4
2015-04-17 04:28:33,98,error4
2015-04-17 05:54:21,43,error1
2015-04-17 08:44:35,38,error4
