datetime,machineID,comp,type
2015-01-01 03:47:01,24,comp2,unscheduled
2015-01-01 10:43:43,59,comp4,unscheduled
2015-01-01 20:05:22,8,comp1,unscheduled
2015-01-01 23:54:35,61,comp4,unscheduled
2015-01-02 00:56:22,51,comp3,unscheduled
2015-01-02 02:25:45,86,comp2,unscheduled
2015-01-02 06:00:00,4,comp3,scheduled
2015-01-02 06:00:00,8,comp2,scheduled
2015-01-02 06:00:00,9,comp4,scheduled
2015-01-02 06:00:00,13,comp1,scheduled
2015-01-02 06:00:00,15,comp4,scheduled
2015-01-02 06:00:00,20,comp4,scheduled
2015-01-02 06:00:00,21,comp2,scheduled
2015-01-02 06:00:00,23,comp2,scheduled
2015-01-02 06:00:00,24,comp2,scheduled
2015-01-02 06:00:00,27,comp4,scheduled
2015-01-02 06:00:00,33,comp2,scheduled
2015-01-02 06:00:00,38,comp4,scheduled
2015-01-02 06:00:00,39,comp2,scheduled
2015-01-02 06:00:00,44,comp3,scheduled
2015-01-02 06:00:00,45,comp3,scheduled
2015-01-02 06:00:00,47,comp3,scheduled
2015-01-02 06:00:00,48,comp3,scheduled
2015-01-02 06:00:00,55,comp1,scheduled
2015-01-02 06:00:00,56,comp4,scheduled
2015-01-02 06:00:00,63,comp1,scheduled
2015-01-02 06:00:00,67,comp1,scheduled
2015-01-02 06:00:00,68,comp2,scheduled
2015-01-02 06:00:00,70,comp2,scheduled
2015-01-02 06:00:00,72,comp3,scheduled
2015-01-02 06:00:00,73,comp3,scheduled
2015-01-02 06:00:00,86,comp2,scheduled
2015-01-02 06:00:00,89,comp2,scheduled
2015-01-02 06:00:00,90,comp1,scheduled
2015-01-02 06:00:00,91,comp1,scheduled
2015-01-02 06:00:00,95,comp1,scheduled
2015-01-02 06:00:00,100,comp1,scheduled
2015-01-02 07:00:00,3,comp2,scheduled
2015-01-02 07:00:00,5,comp2,scheduled
2015-01-02 07:00:00,7,comp2,scheduled
2015-01-02 07:00:00,14,comp2,scheduled
2015-01-02 07:00:00,17,comp2,scheduled
2015-01-02 07:00:00,32,comp2,scheduled
2015-01-02 07:00:00,34,comp1,scheduled
2015-01-02 07:00:00,35,comp1,scheduled
2015-01-02 07:00:00,36,comp3,scheduled
2015-01-02 07:00:00,43,comp2,scheduled
2015-01-02 07:00:00,51,comp1,scheduled
2015-01-02 07:00:00,58,comp1,scheduled
2015-01-02 07:00:00,59,comp3,scheduled
2015-01-02 07:00:00,60,comp2,scheduled
2015-01-02 07:00:00,61,comp2,scheduled
2015-01-02 07:00:00,64,comp2,scheduled
2015-01-02 07:00:00,75,comp1,scheduled
2015-01-02 07:00:00,78,comp2,scheduled
2015-01-02 07:00:00,81,comp3,scheduled
2015-01-02 07:00:00,87,comp3,scheduled
2015-01-02 07:00:00,92,comp3,scheduled
2015-01-02 07:00:00,99,comp4,scheduled
2015-01-02 08:00:00,10,comp1,scheduled
2015-01-02 08:00:00,18,comp3,scheduled
2015-01-02 08:00:00,26,comp4,scheduled
2015-01-02 08:00:00,28,comp1,scheduled
2015-01-02 08:00:00,37,comp1,scheduled
2015-01-02 08:00:00,40,comp1,scheduled
2015-01-02 08:00:00,65,comp1,scheduled
2015-01-02 08:00:00,74,comp4,scheduled
2015-01-02 08:00:00,76,comp1,scheduled
2015-01-02 08:00:00,84,comp1,scheduled
2015-01-02 08:00:00,85,comp3,scheduled
2015-01-02 08:00:00,88,comp1,scheduled
2015-01-02 08:00:00,97,comp3,scheduled
2015-01-02 09:00:00,11,comp2,scheduled
